id,type,x,y,z
LOGICAL_000,logical,3.100000,17.866667,39.579568
LOGICAL_001,logical,-5.766667,36.600000,39.579568
LOGICAL_002,logical,-16.166667,31.300000,39.579568
LOGICAL_003,logical,-16.166667,22.966667,39.579568
LOGICAL_004,logical,-21.679492,8.920914,39.579568
LOGICAL_005,logical,-26.566667,2.166667,39.579568
LOGICAL_006,logical,-2.066667,6.866667,39.579568
LOGICAL_007,logical,-8.907851,-2.986721,39.579568
VERTIPORT_000,vertiport,-31.800000,-6.500000,35.443753
CHARGING_000,charging,-0.600000,47.600000,32.719352
SUPPLIER_000,supplier,10.500000,-16.600000,36.579568
SUPPLIER_001,supplier,-31.800000,31.700000,35.721875
CLIENT_000,client,-0.600000,22.600000,31.233443
CLIENT_001,client,-16.100000,-18.700000,29.303052
CLIENT_002,client,-16.100000,39.600000,33.182580
CLIENT_003,client,-16.100000,14.600000,29.816508
VEHICLE_000,vehicle,-30.300000,-6.500000,36.443753
VEHICLE_001,vehicle,-31.050000,-5.200962,36.443753
VEHICLE_002,vehicle,-32.550000,-5.200962,36.443753
VEHICLE_003,vehicle,-33.300000,-6.500000,36.443753
VEHICLE_004,vehicle,-32.550000,-7.799038,36.443753
VEHICLE_005,vehicle,-31.050000,-7.799038,36.443753
